record,SEXE,AGE,LANGU,Q0QC,Q0QCP,Q1Ar1,Q1Ar2,Q1Ar3,Q1Ar4,Q1Ar5,Q1Ar6,Q1Ar7,Q1Ar8,Q1Ar9,Q1Ar96,Q1C,Q1B,Q2,Q3,Q4r1,Q4r2,Q5,Q6,Q7,Q8r1,Q8r2,Q8r3,Q8r4,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q10,N_BARRIERES,Q11,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12r7,Q12r8,Q12r9,Q12r10,Q12r11,Q12r12,Q12r13,Q12r14,Q12r15,Q12r16,Q12r17,Q12r18,Q12r19,Q12r20,Q12r21,Q12r22,Q12r96,FOY1,FOY2,Q13,Q14,Q14Br1,Q14Br2,Q14Br3,Q14Br4,Q14Br5,Q14Br6,incapacite_total,SEXE_1r5,SEXE_1r2,SEXE_1r1,SEXE_1r3,SEXE_1r4,SEXE_1r6,SEXE_1r7,SEXE_1r8,SEXE_1r9,SEXE_1r97,SEXE_2r8,SEXE_2r2,SEXE_2r1,SEXE_2r3,SEXE_2r4,SEXE_2r5,SEXE_2r6,SEXE_2r7,SEXE_2r9,SEXE_2r97,Q15,Q16,Q17,Q18,Q19,Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9,Q20r10,Q20r11,Q20r12,Q20r96,Q21r1,Q21r2,Q21r3,Q21r4,Q21r5,Q21r6,Q21r7,Q21r8,Q21r9,Q21r10,Q21r11,Q21r12,Q21r96,Q21Br1,Q21Br2,Q21Br3,Q21Br4,Q21Br5,Q21Br6,Q21Br7,Q21Br8,Q22,Q23,Q24,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q25r7,Q25r8,Q25r9,Q25r96,Q25r97,Q26r1,Q26r2,Q26r3,Q26r4,Q26r5,Q26r6,Q26r7,Q26r8,Q26r9,Q26r96,Q27_Lr1r1,Q27_Lr1r2,Q27_Lr1r3,Q27_Lr1r4,Q27_Lr1r96,Q27_Lr2r1,Q27_Lr2r2,Q27_Lr2r3,Q27_Lr2r4,Q27_Lr2r96,Q27_Lr3r1,Q27_Lr3r2,Q27_Lr3r3,Q27_Lr3r4,Q27_Lr3r96,Q27_Lr4r1,Q27_Lr4r2,Q27_Lr4r3,Q27_Lr4r4,Q27_Lr4r96,Q27_Lr5r1,Q27_Lr5r2,Q27_Lr5r3,Q27_Lr5r4,Q27_Lr5r96,Q27_Lr6r1,Q27_Lr6r2,Q27_Lr6r3,Q27_Lr6r4,Q27_Lr6r96,Q27_Lr7r1,Q27_Lr7r2,Q27_Lr7r3,Q27_Lr7r4,Q27_Lr7r96,Q27_Lr8r1,Q27_Lr8r2,Q27_Lr8r3,Q27_Lr8r4,Q27_Lr8r96,Q27_Lr9r1,Q27_Lr9r2,Q27_Lr9r3,Q27_Lr9r4,Q27_Lr9r96,Q27_Lr96r1,Q27_Lr96r2,Q27_Lr96r3,Q27_Lr96r4,Q27_Lr96r96,Q28,Q29r1,Q29r2,Q29r3,Q29r4,Q29r5,Q29r6,Q29r7,Q29r8,Q29r9,Q29r96,Q31r1,Q31r2,Q31r3,Q31r4,Q31r5,Q31r6,Q31r7,Q31r8,Q31r9,Q32r1,Q32r2,Q32r3,Q32r4,Q32r5,Q32r6,Q32r7,Q32r8,Q32r9,Q32r96,Q32r97,pond 
7327,1,9,4,6,29,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,5,7,11,1,2,2,3,1,1,2,2,2,2,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,2,1,1,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,2,97,2,2,97,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,4,4,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0.831675
7333,2,7,1,6,15,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,5,7,3,2,4,3,2,3,1,1,1,1,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,3,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,2,2,3,3,3,97,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,2,1,4,2,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0.782852
7334,1,3,1,6,12,0,0,1,0,0,0,0,0,0,0,3,1,2,1,3,4,6,7,1,3,3,4,3,2,1,2,1,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,2,2,1,2,2,3,3,1,3,1,0,0,0,0,0,0,0,1,0,0,1.860272
7351,1,2,4,6,24,1,0,0,1,0,0,0,0,0,0,1,,5,1,5,5,5,3,2,5,3,4,4,1,2,1,1,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,2,3,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,2,2,2,2,3,2,2,2,3,0,0,0,0,0,0,0,1,0,0,0,2.49818
7356,1,3,1,6,30,0,0,0,0,1,0,0,0,0,0,3,1,5,1,5,4,4,9,2,3,4,1,5,2,2,1,1,1,1,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,13,6,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,3,3,3,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,0,2,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1.860272
7362,2,1,1,6,5,1,0,0,0,0,0,0,0,0,0,1,,5,1,5,3,2,1,1,2,4,3,4,1,1,2,1,2,1,2,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,4,4,4,3,4,4,4,3,4,1,1,0,0,0,0,1,0,0,0,0,0.811974
7368,1,9,2,6,10,0,0,1,0,0,0,0,0,0,0,3,1,4,1,3,5,7,10,1,4,3,5,4,1,2,2,2,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,3,1,97,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,2,2,2,4,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1.168252
7374,2,8,4,6,31,0,0,0,0,0,1,0,0,0,0,3,2,5,2,4,5,7,9,1,4,2,4,3,1,2,1,2,2,1,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,10,6,4,0,1,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,2,2,2,2,2,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,1,1,2,3,2,3,4,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1.489891
7375,1,11,2,6,8,0,0,0,0,1,0,0,0,0,0,3,2,3,1,2,5,7,8,1,4,2,5,3,1,2,2,2,2,2,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,1,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,3,3,3,3,3,97,97,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,2,3,2,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0.829273
7427,2,5,2,6,96,0,0,1,0,0,0,0,0,0,0,3,1,6,2,5,5,7,9,1,3,4,5,3,2,2,2,1,1,1,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,0,0,0,0,97,97,97,97,97,97,97,97,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,2,3,3,3,4,4,1,1,2,0,1,1,1,0,0,0,0,0,0,0,1.517995
7429,2,2,5,6,14,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,5,3,4,2,2,4,4,4,2,2,2,2,2,2,1,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,97,97,97,97,97,97,97,97,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,2,2,4,2,4,1,2,2,1,1,1,1,1,0,0,0,0,0,0,1.300874
7435,2,9,1,6,24,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,1,7,5,3,1,1,3,1,1,2,1,2,1,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,,2,1,2,3,3,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,4,97,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0.472135
7464,2,3,1,6,16,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,4,6,9,1,1,5,3,2,1,2,2,1,2,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,,1,1,1,3,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,1,97,1,97,97,97,97,97,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,4,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0.507745
7465,1,3,4,6,19,0,0,1,0,0,0,0,0,0,0,1,,4,1,5,5,6,5,2,2,2,5,2,1,2,1,2,2,2,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,,3,3,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,2,3,2,3,2,3,2,3,2,0,0,0,0,0,0,0,0,1,0,0,3.038978
7529,1,3,1,6,15,1,0,0,1,0,0,0,0,0,0,2,98,5,1,5,4,6,3,2,2,3,3,4,1,2,1,1,2,2,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,1,3,1,0,0,0,0,1,0,0,0,0,0,2,,,,,2,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,0,0,0,2,3,2,2,1,2,2,2,3,0,0,1,1,1,0,0,0,0,0,0,0.599883
7534,1,3,6,6,19,0,0,1,0,0,0,0,0,0,0,1,,6,1,1,5,3,9,2,2,3,5,4,1,2,1,1,2,1,2,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,2,2,3,3,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,0,0,1,2,2,2,1,1,2,2,2,0,0,0,0,1,1,0,0,0,0,0,3.038978
7542,2,3,1,6,17,0,0,1,0,0,0,0,0,0,0,2,1,5,1,5,4,5,8,1,2,5,2,2,1,2,1,1,1,1,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,1,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,2,97,97,2,97,97,97,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,4,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0.683533
7543,1,3,1,6,24,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,4,6,5,3,4,4,4,3,1,1,2,2,1,1,1,5,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,3,2,2,4,4,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,97,3,3,97,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,1,0,1,0,1,1,0,2,3,2,2,1,4,2,1,1,1,1,0,1,0,0,1,0,0,0,0,1.529231
7546,2,6,1,6,16,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,7,8,3,2,1,4,2,1,2,1,2,2,2,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,2,2,2,97,2,97,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,3,3,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0.592486
7551,1,6,1,6,24,0,0,0,0,1,0,0,0,0,0,1,,5,1,5,4,7,11,1,4,2,2,4,1,2,1,2,2,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,5,5,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,3,3,2,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,3,3,2,2,4,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0.953086
7552,2,3,2,6,30,1,1,0,0,1,0,0,0,0,0,1,,3,1,3,5,6,11,3,4,3,4,3,1,2,2,1,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,3,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,97,97,97,97,97,97,97,97,3,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,2,,,1,,1,1,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,2,1,3,3,3,4,2,4,2,1,1,1,1,0,0,1,0,0,0,0,0.419493
7554,2,11,1,6,18,0,0,0,1,0,0,0,0,0,0,1,,2,1,5,4,7,1,1,3,2,2,1,2,2,2,2,2,2,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,3,2,4,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,3,97,3,97,3,97,3,97,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,2,2,2,2,4,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0.725573
7555,2,9,1,6,24,0,0,1,0,0,0,0,0,0,0,1,,6,1,5,4,7,9,1,4,1,4,2,2,2,2,1,2,2,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,1,1,2,3,4,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,97,2,3,1,3,1,1,0,0,0,1,0,0,0,1,0,1,2,,,,1,,,,1,,,,,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,1,0,1,0,1,4,4,1,3,4,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0.15225
7565,1,7,5,6,14,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,5,6,10,1,5,5,5,2,2,2,1,2,2,1,2,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,1,3,0,1,0,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,2,1,3,2,3,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0.57468
7568,2,3,4,6,15,0,0,1,0,0,0,0,0,0,0,3,1,2,1,5,5,6,3,2,5,5,5,5,1,1,1,1,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,,3,1,3,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1.300874
7569,2,5,5,6,23,0,0,1,0,0,0,0,0,0,0,2,2,3,1,5,5,7,4,1,4,3,3,2,1,2,2,1,2,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,97,97,3,2,1,97,2,1,3,1,0,1,0,0,1,0,0,0,0,0,1,,2,,,1,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,2,2,4,2,3,4,3,3,1,1,1,1,0,0,0,1,0,0,0,0,0.48951
7574,2,6,4,6,29,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,5,7,7,4,3,4,5,2,1,1,1,2,2,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,,,,2,2,1,3,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,1,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,1,4,2,2,4,2,1,3,1,0,1,0,0,0,0,0,0,0,0,1.080656
7577,2,6,1,6,27,0,0,0,0,0,0,0,1,0,0,1,,5,2,5,5,5,7,2,2,2,3,3,2,2,2,2,2,1,2,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,0,0,0,0,1,1,3,1,3,4,3,2,2,0,0,0,1,0,1,0,0,1,0,0,0.797617
7672,1,3,7,6,12,0,0,1,0,0,0,0,0,0,0,1,,3,1,2,5,6,5,2,4,3,4,2,1,2,2,2,2,2,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,,,,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,2,97,97,97,97,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,0,1,0,0,3.038978
7674,2,5,2,6,32,1,0,0,0,0,0,0,0,0,0,1,,6,1,3,5,4,4,3,1,1,5,3,2,2,2,2,2,2,1,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,3,3,1,1,3,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,3,3,3,3,3,2,2,1,1,0,1,1,0,0,1,0,0,0,0,1.517995
7677,2,6,2,6,30,0,0,1,0,0,0,0,0,0,0,3,1,6,1,2,5,7,11,2,3,2,4,2,1,2,2,2,2,2,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,,1,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,97,97,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,2,2,3,2,2,1,2,2,1,1,1,0,1,0,0,1,0,0,0,0,1.517995
